,Date,HC_trend,HC_yhat_lower,HC_yhat_upper,HC_trend_lower,HC_trend_upper,HC_additive_terms,HC_additive_terms_lower,HC_additive_terms_upper,HC_weekly,HC_weekly_lower,HC_weekly_upper,HC_yearly,HC_yearly_lower,HC_yearly_upper,HC_multiplicative_terms,HC_multiplicative_terms_lower,HC_multiplicative_terms_upper,HC_yhat,DET_trend,DET_yhat_lower,DET_yhat_upper,DET_trend_lower,DET_trend_upper,DET_additive_terms,DET_additive_terms_lower,DET_additive_terms_upper,DET_weekly,DET_weekly_lower,DET_weekly_upper,DET_yearly,DET_yearly_lower,DET_yearly_upper,DET_multiplicative_terms,DET_multiplicative_terms_lower,DET_multiplicative_terms_upper,DET_yhat,DETI_ds,DETI_trend,DETI_yhat_lower,DETI_yhat_upper,DETI_trend_lower,DETI_trend_upper,DETI_additive_terms,DETI_additive_terms_lower,DETI_additive_terms_upper,DETI_weekly,DETI_weekly_lower,DETI_weekly_upper,DETI_yearly,DETI_yearly_lower,DETI_yearly_upper,DETI_multiplicative_terms,DETI_multiplicative_terms_lower,DETI_multiplicative_terms_upper,DETI_yhat
21,2015-10-01,47831.00074066483,72859.91041477241,126573.26395627056,47831.00074066483,47831.00074066483,51274.93009570459,51274.93009570459,51274.93009570459,-1639.349090391284,-1639.349090391284,-1639.349090391284,52914.27918609588,52914.27918609588,52914.27918609588,0.0,0.0,0.0,99105.93083636943,86518.22692302358,74988.48040774172,123718.17391028837,86518.22692302358,86518.22692302358,13746.83681979811,13746.83681979811,13746.83681979811,-6115.498818895541,-6115.498818895541,-6115.498818895541,19862.33563869365,19862.33563869365,19862.33563869365,0.0,0.0,0.0,100265.06374282169,2015-10-01,9365.00343253027,11815.834381160912,25277.20107842193,9365.00343253027,9365.00343253027,9195.264729824647,9195.264729824647,9195.264729824647,-1540.2975475404633,-1540.2975475404633,-1540.2975475404633,10735.562277365108,10735.562277365108,10735.562277365108,0.0,0.0,0.0,18560.268162354914
22,2015-11-01,47770.60825353612,56097.96265351172,109120.93521176245,47770.60825353612,47770.60825353612,33916.05960364333,33916.05960364333,33916.05960364333,212.51644206086692,212.51644206086692,212.51644206086692,33703.54316158245,33703.54316158245,33703.54316158245,0.0,0.0,0.0,81686.66785717945,86670.07101787892,83871.97259757067,130568.17333853956,86670.07101787892,86670.07101787892,19089.325727788608,19089.325727788608,19089.325727788608,57.50870186002476,57.50870186002476,57.50870186002476,19031.817025928583,19031.817025928583,19031.817025928583,0.0,0.0,0.0,105759.39674566753,2015-11-01,9567.225649489206,9888.734677920578,22645.134582560702,9567.225649489206,9567.225649489206,6752.597882197965,6752.597882197965,6752.597882197965,218.6139513466946,218.6139513466946,218.6139513466946,6533.98393085127,6533.98393085127,6533.98393085127,0.0,0.0,0.0,16319.823531687172
23,2015-12-01,47712.1639111535,23909.19641904175,78304.89165892669,47712.1639111535,47712.1639111535,3472.5086943348165,3472.5086943348165,3472.5086943348165,5470.40796715231,5470.40796715231,5470.40796715231,-1997.899272817494,-1997.899272817494,-1997.899272817494,0.0,0.0,0.0,51184.67260548831,86817.016916126,50123.1994298291,100579.6261204975,86817.016916126,86817.016916126,-11960.06255879568,-11960.06255879568,-11960.06255879568,-7911.30833413927,-7911.30833413927,-7911.30833413927,-4048.7542246564085,-4048.7542246564085,-4048.7542246564085,0.0,0.0,0.0,74856.95435733032,2015-12-01,9762.924569126884,5001.670386315036,17468.869398041574,9762.924569126884,9762.924569126884,1218.249733039174,1218.249733039174,1218.249733039174,-862.5944713706377,-862.5944713706377,-862.5944713706377,2080.8442044098115,2080.8442044098115,2080.8442044098115,0.0,0.0,0.0,10981.174302166059
24,2016-01-01,47651.77142380835,-26415.57227876005,31182.94496544165,47651.77142380835,47651.77142380835,-44432.592991547295,-44432.592991547295,-44432.592991547295,-6826.216798022283,-6826.216798022283,-6826.216798022283,-37606.37619352502,-37606.37619352502,-37606.37619352502,0.0,0.0,0.0,3219.1784322610547,86968.86100828333,32855.77161812639,78594.84071438816,86968.86100828333,86968.86100828333,-31187.06686500166,-31187.06686500166,-31187.06686500166,4532.5472954870565,4532.5472954870565,4532.5472954870565,-35719.61416048871,-35719.61416048871,-35719.61416048871,0.0,0.0,0.0,55781.79414328167,2016-01-01,9965.53685476204,4882.174316893149,18219.501144118454,9965.53685476204,9965.53685476204,1490.0587433342585,1490.0587433342585,1490.0587433342585,514.4175602691453,514.4175602691453,514.4175602691453,975.6411830651132,975.6411830651132,975.6411830651132,0.0,0.0,0.0,11455.595598096299
25,2016-02-01,47591.37893646321,-20840.600293976495,32793.59774970594,47591.37893646321,47591.37893646321,-41622.1870478341,-41622.1870478341,-41622.1870478341,2140.582762608555,2140.582762608555,2140.582762608555,-43762.76981044266,-43762.76981044266,-43762.76981044266,0.0,0.0,0.0,5969.19188862911,87120.70510044064,43034.2223670707,90893.57995709994,87120.70510044064,87120.70510044064,-20505.463565975337,-20505.463565975337,-20505.463565975337,13582.9716470422,13582.9716470422,13582.9716470422,-34088.43521301754,-34088.43521301754,-34088.43521301754,0.0,0.0,0.0,66615.2415344653,2016-02-01,10168.149140397192,4014.720482612766,17328.857246263917,10168.149140397192,10168.149140397192,203.53421849326045,203.53421849326045,203.53421849326045,918.8515058509109,918.8515058509109,918.8515058509109,-715.3172873576506,-715.3172873576506,-715.3172873576506,0.0,0.0,0.0,10371.683358890452
26,2016-03-01,47534.88273867522,-14519.413441419494,41340.30115903143,47534.88273867522,47534.88273867522,-34797.12153658506,-34797.12153658506,-34797.12153658506,5470.4079671525205,5470.4079671525205,5470.4079671525205,-40267.52950373758,-40267.52950373758,-40267.52950373758,0.0,0.0,0.0,12737.761202090158,87263.60506487513,22822.661849361226,71880.67762062089,87263.60506487513,87263.60506487513,-39003.012137687714,-39003.012137687714,-39003.012137687714,-7911.308334131335,-7911.308334131335,-7911.308334131335,-31091.70380355639,-31091.70380355639,-31091.70380355639,0.0,0.0,0.0,48260.59292718741,2016-03-01,10358.051635036807,-3527.7187892353904,10274.265641400518,10358.051635036807,10358.051635036807,-6935.275283451071,-6935.275283451071,-6935.275283451071,-862.594471370283,-862.594471370283,-862.594471370283,-6072.680812080789,-6072.680812080789,-6072.680812080789,0.0,0.0,0.0,3422.776351585736
27,2016-04-01,47474.490251384595,-32980.03559794544,20612.843704038634,47474.490251384595,47474.490251384595,-53614.0064763851,-53614.0064763851,-53614.0064763851,-6826.216798016092,-6826.216798016092,-6826.216798016092,-46787.789678369,-46787.789678369,-46787.789678369,0.0,0.0,0.0,-6139.516225000501,87416.36019927061,40335.512177110984,87120.70862116852,87416.36019927061,87416.36019927061,-23576.12200375015,-23576.12200375015,-23576.12200375015,4532.547295447414,4532.547295447414,4532.547295447414,-28108.669299197565,-28108.669299197565,-28108.669299197565,0.0,0.0,0.0,63840.23819552046,2016-04-01,10561.050853444669,231.0631654917066,13748.254141216405,10561.050853444669,10561.050853444669,-3762.767997030907,-3762.767997030907,-3762.767997030907,514.4175602632687,514.4175602632687,514.4175602632687,-4277.185557294176,-4277.185557294176,-4277.185557294176,0.0,0.0,0.0,6798.282856413762
28,2016-05-01,47416.045908845284,-25342.459828155148,29472.40715823521,47416.045908845284,47416.045908845284,-45621.21490009413,-45621.21490009413,-45621.21490009413,212.5164421053419,212.5164421053419,212.5164421053419,-45833.73134219948,-45833.73134219948,-45833.73134219948,0.0,0.0,0.0,1794.8310087511563,87564.1877486856,89922.49906559873,138687.6186156512,87564.1877486856,87564.1877486856,26654.76451701922,26654.76451701922,26654.76451701922,57.508701815139126,57.508701815139126,57.508701815139126,26597.25581520408,26597.25581520408,26597.25581520408,0.0,0.0,0.0,114218.95226570481,2016-05-01,10757.501709968406,66.03849934534861,13410.250378648418,10757.501709968406,10757.501709968406,-4310.215905980397,-4310.215905980397,-4310.215905980397,218.61395134034817,218.61395134034817,218.61395134034817,-4528.829857320746,-4528.829857320746,-4528.829857320746,0.0,0.0,0.0,6447.285803988009
29,2016-06-01,47355.653421665884,39438.011325881256,90076.15351673031,47355.653421665884,47355.653421665884,16101.73097232461,16101.73097232461,16101.73097232461,-9965.185437049611,-9965.185437049611,-9965.185437049611,26066.91640937422,26066.91640937422,26066.91640937422,0.0,0.0,0.0,63457.38439399049,87716.945981415,51775.8070341452,97754.5478601751,87716.945981415,87716.945981415,-13417.000156360747,-13417.000156360747,-13417.000156360747,-3622.202814811153,-3622.202814811153,-3622.202814811153,-9794.797341549593,-9794.797341549593,-9794.797341549593,0.0,0.0,0.0,74299.94582505425,2016-06-01,10960.813901018559,-160.5379194899718,12338.792062879784,10960.813901018559,10960.813901018559,-4827.381749207125,-4827.381749207125,-4827.381749207125,538.2363197463533,538.2363197463533,538.2363197463533,-5365.6180689534785,-5365.6180689534785,-5365.6180689534785,0.0,0.0,0.0,6133.432151811434
30,2016-07-01,47297.20907923419,88475.75247059898,141955.22343411355,47297.20907923419,47297.20907923419,67490.32167966927,67490.32167966927,67490.32167966927,-6826.216798034391,-6826.216798034391,-6826.216798034391,74316.53847770365,74316.53847770365,74316.53847770365,0.0,0.0,0.0,114787.53075890346,87864.77652921765,60385.3901014164,107932.76947898073,87864.77652921765,87864.77652921765,-3276.3924550481383,-3276.3924550481383,-3276.3924550481383,4532.547295493024,4532.547295493024,4532.547295493024,-7808.939750541161,-7808.939750541161,-7808.939750541161,0.0,0.0,0.0,84588.38407416952,2016-07-01,11157.567634292902,-725.3428850907462,12669.490750648756,11157.567634292902,11157.567634292902,-5218.66043568912,-5218.66043568912,-5218.66043568912,514.4175602688144,514.4175602688144,514.4175602688144,-5733.077995957934,-5733.077995957934,-5733.077995957934,0.0,0.0,0.0,5938.907198603782
31,2016-08-01,47236.81659233415,78821.1509074418,134289.69434861545,47236.81659233415,47236.81659233415,59375.20404568187,59375.20404568187,59375.20404568187,2140.58276261069,2140.58276261069,2140.58276261069,57234.62128307119,57234.62128307119,57234.62128307119,0.0,0.0,0.0,106612.02063801602,88018.29146458553,86657.42778229559,136435.56660582175,88018.29146458553,88018.29146458553,23438.76585865186,23438.76585865186,23438.76585865186,13582.971647043196,13582.971647043196,13582.971647043196,9855.794211608667,9855.794211608667,9855.794211608667,0.0,0.0,0.0,111457.05732323739,2016-08-01,11361.073241461396,1840.7717560889466,15006.371424172892,11361.073241461396,11361.073241461396,-2967.9239981092423,-2967.9239981092423,-2967.9239981092423,918.851505850623,918.851505850623,918.851505850623,-3886.7755039598655,-3886.7755039598655,-3886.7755039598655,0.0,0.0,0.0,8393.149243352153
32,2016-09-01,47176.4241054341,82836.10367308356,137406.5606137799,47176.4241054341,47176.4241054341,63138.268632347754,63138.268632347754,63138.268632347754,-1639.3490903894426,-1639.3490903894426,-1639.3490903894426,64777.6177227372,64777.6177227372,64777.6177227372,0.0,0.0,0.0,110314.69273778185,88171.80639995344,115525.09623679247,160684.31703462658,88171.80639995344,88171.80639995344,50411.02477434725,50411.02477434725,50411.02477434725,-6115.4988188893,-6115.4988188893,-6115.4988188893,56526.52359323656,56526.52359323656,56526.52359323656,0.0,0.0,0.0,138582.8311743007,2016-09-01,11564.578848629888,11031.747146504838,23950.677042227187,11564.578848629888,11564.578848629888,6274.492355616971,6274.492355616971,6274.492355616971,-1540.2975475405085,-1540.2975475405085,-1540.2975475405085,7814.78990315748,7814.78990315748,7814.78990315748,0.0,0.0,0.0,17839.07120424686
33,2016-10-01,47118.113885984545,52971.82205661141,104176.40398092089,47118.113885984545,47118.113885984545,31330.40961699715,31330.40961699715,31330.40961699715,10607.244153698213,10607.244153698213,10607.244153698213,20723.16546329894,20723.16546329894,20723.16546329894,0.0,0.0,0.0,78448.5235029817,88322.20736092424,106829.64946253943,152195.55432905856,88322.20736092424,88322.20736092424,40866.10976591789,40866.10976591789,40866.10976591789,-524.0176765497798,-524.0176765497798,-524.0176765497798,41390.127442467674,41390.127442467674,41390.127442467674,0.0,0.0,0.0,129188.31712684213,2016-10-01,11761.536457238079,16090.052345307779,29034.11192132416,11761.536457238079,11761.536457238079,10430.83648239392,10430.83648239392,10430.83648239392,212.77268169479458,212.77268169479458,212.77268169479458,10218.063800699125,10218.063800699125,10218.063800699125,0.0,0.0,0.0,22192.372939631998
34,2016-11-01,47057.859992553334,23835.549767705605,76111.50710777837,47057.859992553334,47057.859992553334,1800.431305805674,1800.431305805674,1800.431305805674,5470.407967109913,5470.407967109913,5470.407967109913,-3669.9766613042398,-3669.9766613042398,-3669.9766613042398,0.0,0.0,0.0,48858.29129835901,88477.62168726073,76513.68925096247,124448.40115695143,88477.62168726073,88477.62168726073,11294.770459727599,11294.770459727599,11294.770459727599,-7911.3083341183765,-7911.3083341183765,-7911.3083341183765,19206.078793845976,19206.078793845976,19206.078793845976,0.0,0.0,0.0,99772.39214698834,2016-11-01,11965.059319466542,15028.078160525685,27775.271893438836,11965.059319466542,11965.059319466542,9044.423220411521,9044.423220411521,9044.423220411521,-862.594471366818,-862.594471366818,-862.594471366818,9907.017691778341,9907.017691778341,9907.017691778341,0.0,0.0,0.0,21009.482539878063
35,2016-12-01,46999.54977340846,7062.884624789354,63285.103253521986,46999.54977340846,46999.54977340846,-11073.522381589222,-11073.522381589222,-11073.522381589222,-1639.3490903914642,-1639.3490903914642,-1639.3490903914642,-9434.173291197756,-9434.173291197756,-9434.173291197756,0.0,0.0,0.0,35926.02739181923,88628.70338952505,39394.97193296951,87273.6426225651,88628.70338952505,88628.70338952505,-26414.78445683475,-26414.78445683475,-26414.78445683475,-6115.498818896167,-6115.498818896167,-6115.498818896167,-20299.285637938578,-20299.285637938578,-20299.285637938578,0.0,0.0,0.0,62213.9189326903,2016-12-01,12162.24197412562,7890.0452314617305,21573.471295899046,12162.24197412562,12162.24197412562,2622.429315794813,2622.429315794813,2622.429315794813,-1540.2975475407602,-1540.2975475407602,-1540.2975475407602,4162.726863335573,4162.726863335573,4162.726863335573,0.0,0.0,0.0,14784.671289920432
36,2017-01-01,46939.295880292084,7091.50178087106,61824.14803225685,46939.295880292084,46939.295880292084,-13153.228233980848,-13153.228233980848,-13153.228233980848,212.5164420548169,212.5164420548169,212.5164420548169,-13365.744676035663,-13365.744676035663,-13365.744676035663,0.0,0.0,0.0,33786.06764631123,88784.82114853151,31786.080334397022,80609.56332160361,88784.82114853151,88784.82114853151,-31628.681303442987,-31628.681303442987,-31628.681303442987,57.50870186707095,57.50870186707095,57.50870186707095,-31686.190005310065,-31686.190005310065,-31686.190005310065,0.0,0.0,0.0,57156.139845088524,2017-01-01,12365.997383940005,6568.941932442576,19435.857631638246,12365.997383940005,12365.997383940005,676.5528130041637,676.5528130041637,676.5528130041637,218.61395134745754,218.61395134745754,218.61395134745754,457.9388616567062,457.9388616567062,457.9388616567062,0.0,0.0,0.0,13042.550196944168
37,2017-02-01,46879.04201364922,-11206.919387758857,43644.47595198978,46879.04201364922,46879.04201364922,-30092.5659937283,-30092.5659937283,-30092.5659937283,-9965.185437073045,-9965.185437073045,-9965.185437073045,-20127.380556655255,-20127.380556655255,-20127.380556655255,0.0,0.0,0.0,16786.476019920916,88942.06254060542,39368.17990457343,87115.22005884344,88942.06254060542,88942.06254060542,-24542.273118964702,-24542.273118964702,-24542.273118964702,-3622.202814826503,-3622.202814826503,-3622.202814826503,-20920.070304138208,-20920.070304138208,-20920.070304138208,0.0,0.0,0.0,64399.789421640715,2017-02-01,12569.882973633736,4716.288906459802,18410.416066222435,12569.882973633736,12569.882973633736,-836.3949883978488,-836.3949883978488,-836.3949883978488,538.2363197466045,538.2363197466045,538.2363197466045,-1374.6313081444534,-1374.6313081444534,-1374.6313081444534,0.0,0.0,0.0,11733.487985235886
38,2017-03-01,46824.61916635889,-29833.683590312223,23445.87665833262,46824.61916635889,46824.61916635889,-50286.679168047376,-50286.679168047376,-50286.679168047376,-9965.185437061293,-9965.185437061293,-9965.185437061293,-40321.49373098608,-40321.49373098608,-40321.49373098608,0.0,0.0,0.0,-3462.0600016884855,89084.08702376895,32467.261818039435,79034.49047041775,89084.08702376895,89084.08702376895,-32976.65726785032,-32976.65726785032,-32976.65726785032,-3622.202814826456,-3622.202814826456,-3622.202814826456,-29354.454453023875,-29354.454453023875,-29354.454453023875,0.0,0.0,0.0,56107.42975591863,2017-03-01,12754.037699808721,1971.8406528910477,16081.276822875483,12754.037699808721,12754.037699808721,-3865.557970491297,-3865.557970491297,-3865.557970491297,538.2363197471448,538.2363197471448,538.2363197471448,-4403.794290238441,-4403.794290238441,-4403.794290238441,0.0,0.0,0.0,8888.479729317423
39,2017-04-01,46764.57887837957,-11327.833420364363,40208.86156793472,46764.57887837957,46764.57887837957,-33591.80601220912,-33591.80601220912,-33591.80601220912,10607.244153668651,10607.244153668651,10607.244153668651,-44199.050165877765,-44199.050165877765,-44199.050165877765,0.0,0.0,0.0,13172.772866170453,89243.19807163559,44683.06047287505,90554.25429872573,89243.19807163559,89243.19807163559,-21187.9920164573,-21187.9920164573,-21187.9920164573,-524.0176765071468,-524.0176765071468,-524.0176765071468,-20663.974339950157,-20663.974339950157,-20663.974339950157,0.0,0.0,0.0,68055.20605517829,2017-04-01,12957.923301209525,1596.4365993891238,15234.958922601563,12957.923301209525,12957.923301209525,-4547.264047292342,-4547.264047292342,-4547.264047292342,212.77268170101826,212.77268170101826,212.77268170101826,-4760.036728993361,-4760.036728993361,-4760.036728993361,0.0,0.0,0.0,8410.659253917183
